Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,False,99.9,71.898,69.36,-2.538,0.965,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,False,99.99,71.898,71.128,-0.77,0.989,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,False,99.999,71.898,69.368,-2.53,0.965,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,True,99.9,71.898,0.1,-71.798,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,True,99.99,71.898,0.11,-71.788,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,asymmetric,True,20,True,True,True,99.999,71.898,0.132,-71.766,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,False,False,99.9,71.898,64.874,-7.024,0.902,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,False,False,99.99,71.898,70.85,-1.048,0.985,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,False,False,99.999,71.898,69.936,-1.962,0.973,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,False,99.9,71.898,69.944,-1.954,0.973,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,False,99.99,71.898,70.774,-1.124,0.984,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,False,99.999,71.898,70.426,-1.472,0.98,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,True,99.9,71.898,0.1,-71.798,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,True,99.99,71.898,0.094,-71.804,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int16,False,symmetric,True,20,True,True,True,99.999,71.898,0.11,-71.788,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,False,False,99.9,71.898,70.692,-1.206,0.983,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,False,False,99.99,71.898,70.644,-1.254,0.983,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,False,False,99.999,71.898,70.316,-1.582,0.978,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.9,71.898,70.744,-1.154,0.984,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,70.972,-0.926,0.987,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,False,99.999,71.898,69.964,-1.934,0.973,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,True,99.9,71.898,0.114,-71.784,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,True,99.99,71.898,0.086,-71.812,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,asymmetric,True,20,True,True,True,99.999,71.898,0.106,-71.792,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,False,False,99.9,71.898,71.33,-0.568,0.992,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,False,False,99.99,71.898,70.554,-1.344,0.981,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,False,False,99.999,71.898,69.27,-2.628,0.963,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,71.242,-0.656,0.991,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,70.922,-0.976,0.986,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,False,99.999,71.898,68.382,-3.516,0.951,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.9,71.898,0.13,-71.768,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.99,71.898,0.088,-71.81,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,8,8,int32,False,symmetric,True,20,True,True,True,99.999,71.898,0.086,-71.812,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,False,False,99.9,71.898,26.868,-45.03,0.374,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,False,False,99.99,71.898,30.316,-41.582,0.422,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,False,False,99.999,71.898,25.898,-46.0,0.36,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,False,99.9,71.898,41.336,-30.562,0.575,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,46.68,-25.218,0.649,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,False,99.999,71.898,44.916,-26.982,0.625,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.9,71.898,0.114,-71.784,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.99,71.898,0.104,-71.794,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,asymmetric,True,20,True,True,True,99.999,71.898,0.132,-71.766,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,False,False,99.9,71.898,26.308,-45.59,0.366,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,False,False,99.99,71.898,26.566,-45.332,0.369,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,False,False,99.999,71.898,25.334,-46.564,0.352,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
